Month,Region,Channel,Product,Demographic,Units Sold,Return Rate,Avg Satisfaction,Social Engagement,Social Engagement Source
Jan 2023,Northeast,In-Store,Fresh Foam X,Gen Z,202,0.12,4.0,,
Jan 2023,Northeast,In-Store,Fresh Foam X,Millennial,171,0.09,4.2,,
Jan 2023,Northeast,In-Store,Fresh Foam X,Gen X,314,0.23,2.9,,
Jan 2023,Northeast,In-Store,Fresh Foam X,Boomer,249,0.15,3.5,,
Jan 2023,Northeast,In-Store,FuelCell Rebel,Gen Z,393,0.22,3.3,,
Jan 2023,Northeast,In-Store,FuelCell Rebel,Millennial,352,0.06,4.2,,
Jan 2023,Northeast,In-Store,FuelCell Rebel,Gen X,158,0.12,3.8,,
Jan 2023,Northeast,In-Store,FuelCell Rebel,Boomer,287,0.11,3.3,,
Jan 2023,Northeast,In-Store,880v13,Gen Z,274,0.08,4.6,,
Jan 2023,Northeast,In-Store,880v13,Millennial,343,0.12,3.8,,
Jan 2023,Northeast,In-Store,880v13,Gen X,234,0.12,4.1,,
Jan 2023,Northeast,In-Store,880v13,Boomer,152,0.11,3.7,,
Jan 2023,Northeast,Online,Fresh Foam X,Gen Z,363,0.19,2.7,,
Jan 2023,Northeast,Online,Fresh Foam X,Millennial,101,0.08,4.1,,
Jan 2023,Northeast,Online,Fresh Foam X,Gen X,359,0.16,3.7,,
Jan 2023,Northeast,Online,Fresh Foam X,Boomer,370,0.14,3.5,,
Jan 2023,Northeast,Online,FuelCell Rebel,Gen Z,307,0.16,3.9,,
Jan 2023,Northeast,Online,FuelCell Rebel,Millennial,379,0.08,3.9,,
Jan 2023,Northeast,Online,FuelCell Rebel,Gen X,140,0.11,3.7,,
Jan 2023,Northeast,Online,FuelCell Rebel,Boomer,108,0.12,4.0,,
Jan 2023,Northeast,Online,880v13,Gen Z,162,0.18,3.5,,
Jan 2023,Northeast,Online,880v13,Millennial,262,0.17,3.7,,
Jan 2023,Northeast,Online,880v13,Gen X,330,0.18,3.3,,
Jan 2023,Northeast,Online,880v13,Boomer,300,0.07,4.6,,
Jan 2023,Northeast,Social Referral,Fresh Foam X,Gen Z,147,0.22,2.5,6425.0,Instagram
Jan 2023,Northeast,Social Referral,Fresh Foam X,Millennial,134,0.24,2.5,4886.0,TikTok
Jan 2023,Northeast,Social Referral,Fresh Foam X,Gen X,356,0.1,4.2,4077.0,Twitter
Jan 2023,Northeast,Social Referral,Fresh Foam X,Boomer,278,0.17,3.3,4551.0,Instagram
Jan 2023,Northeast,Social Referral,FuelCell Rebel,Gen Z,195,0.11,4.0,6309.0,Instagram
Jan 2023,Northeast,Social Referral,FuelCell Rebel,Millennial,112,0.26,2.5,4359.0,Instagram
Jan 2023,Northeast,Social Referral,FuelCell Rebel,Gen X,165,0.08,4.5,4842.0,Instagram
Jan 2023,Northeast,Social Referral,FuelCell Rebel,Boomer,385,0.1,3.9,6126.0,Instagram
Jan 2023,Northeast,Social Referral,880v13,Gen Z,330,0.14,3.7,2975.0,Instagram
Jan 2023,Northeast,Social Referral,880v13,Millennial,236,0.1,4.6,4769.0,Instagram
Jan 2023,Northeast,Social Referral,880v13,Gen X,251,0.14,3.7,7829.0,Instagram
Jan 2023,Northeast,Social Referral,880v13,Boomer,151,0.16,3.6,3418.0,TikTok
Jan 2023,South,In-Store,Fresh Foam X,Gen Z,200,0.15,4.2,,
Jan 2023,South,In-Store,Fresh Foam X,Millennial,153,0.15,3.4,,
Jan 2023,South,In-Store,Fresh Foam X,Gen X,225,0.15,3.1,,
Jan 2023,South,In-Store,Fresh Foam X,Boomer,259,0.26,2.8,,
Jan 2023,South,In-Store,FuelCell Rebel,Gen Z,302,0.08,4.0,,
Jan 2023,South,In-Store,FuelCell Rebel,Millennial,393,0.22,2.5,,
Jan 2023,South,In-Store,FuelCell Rebel,Gen X,297,0.21,2.8,,
Jan 2023,South,In-Store,FuelCell Rebel,Boomer,243,0.13,4.0,,
Jan 2023,South,In-Store,880v13,Gen Z,358,0.24,2.9,,
Jan 2023,South,In-Store,880v13,Millennial,246,0.11,3.8,,
Jan 2023,South,In-Store,880v13,Gen X,227,0.21,2.9,,
Jan 2023,South,In-Store,880v13,Boomer,366,0.11,3.8,,
Jan 2023,South,Online,Fresh Foam X,Gen Z,250,0.24,2.7,,
Jan 2023,South,Online,Fresh Foam X,Millennial,362,0.2,3.2,,
Jan 2023,South,Online,Fresh Foam X,Gen X,159,0.15,3.7,,
Jan 2023,South,Online,Fresh Foam X,Boomer,259,0.08,4.6,,
Jan 2023,South,Online,FuelCell Rebel,Gen Z,198,0.19,3.2,,
Jan 2023,South,Online,FuelCell Rebel,Millennial,251,0.2,2.9,,
Jan 2023,South,Online,FuelCell Rebel,Gen X,215,0.16,3.7,,
Jan 2023,South,Online,FuelCell Rebel,Boomer,326,0.18,3.2,,
Jan 2023,South,Online,880v13,Gen Z,252,0.24,2.7,,
Jan 2023,South,Online,880v13,Millennial,307,0.15,3.4,,
Jan 2023,South,Online,880v13,Gen X,234,0.1,4.3,,
Jan 2023,South,Online,880v13,Boomer,275,0.14,3.4,,
Jan 2023,South,Social Referral,Fresh Foam X,Gen Z,121,0.19,3.0,6814.0,Twitter
Jan 2023,South,Social Referral,Fresh Foam X,Millennial,383,0.18,3.5,5591.0,Instagram
Jan 2023,South,Social Referral,Fresh Foam X,Gen X,246,0.22,2.9,2325.0,TikTok
Jan 2023,South,Social Referral,Fresh Foam X,Boomer,332,0.14,3.6,5512.0,Twitter
Jan 2023,South,Social Referral,FuelCell Rebel,Gen Z,194,0.11,3.4,4330.0,Instagram
Jan 2023,South,Social Referral,FuelCell Rebel,Millennial,380,0.19,3.4,4496.0,Facebook
